ds,yhat,yhat_lower,yhat_upper,ward_id
2026-01-05,1106.198974822171,-95.47169348203013,2416.2976872983286,W001
2026-01-12,1123.8191995867865,-222.09055320369,2372.036750582925,W001
2026-01-19,1141.4394243992986,-167.26252101233274,2376.1661646849734,W001
2026-01-26,1159.059649173968,-149.58340851324874,2406.003771161846,W001
2026-02-02,1176.6798739486376,-133.48076088436775,2390.2977073812463,W001
2026-02-09,1194.3000987091991,-41.33211723156494,2461.9907461331136,W001
2026-02-16,1211.9203234900483,-93.80799880827972,2467.7566911853874,W001
2026-02-23,1229.5405483136449,-33.053365261443766,2555.5047464743748,W001
2026-03-02,1247.1607731220395,8.100525153589636,2474.119312880555,W001
2026-03-09,1264.780997930434,-59.48854340292325,2560.6650201510583,W001
2026-03-16,1282.40122278649,64.99190082795809,2524.616797601001,W001
2026-03-23,1300.021447689426,44.879182294531425,2624.278378874332,W001
2026-03-30,1317.6416725537756,80.5390407115917,2572.160460149977,W001
2026-04-06,1335.2618974281409,90.4030698865293,2580.837375945725,W001
2026-04-13,1352.8821223025056,72.46143263582996,2692.123343130256,W001
2026-04-20,1370.5023471984748,144.8120545874969,2568.8257509855353,W001
2026-04-27,1388.1225721009566,21.137297957333857,2656.637979834658,W001
2026-05-04,1405.7427970141985,281.06788089746686,2692.032395052801,W001
2026-05-11,1423.363021884952,257.7267222256714,2742.1826237992573,W001
2026-05-18,1440.983246755706,217.8016233104979,2781.3619233422055,W001
2026-05-25,1458.603471666017,235.19297323246496,2767.710607452196,W001
2026-06-01,1476.2236965667835,261.0728858065994,2845.6165440886225,W001
2026-06-08,1493.8439214243617,270.0610970036182,2762.6883528944627,W001
2026-06-15,1511.4641462713848,146.83122965689614,2675.7560243317535,W001
2026-06-22,1529.0843711184077,370.2557616953613,2891.015790562577,W001
2026-06-29,1546.7045959470886,288.0719467228558,2789.0325231599404,W001
2026-07-06,1564.3248207304696,268.3254757623454,2918.87284422726,W001
2026-07-13,1581.9450455425292,329.72331769400677,2885.2704423284167,W001
2026-07-20,1599.5652703076419,407.6322802781976,2909.859323495028,W001
2026-07-27,1617.1854950727545,322.455819014616,2893.75022482551,W001
2026-08-03,1634.8057198349588,347.6994885659375,2893.3235722326035,W001
2026-08-10,1652.4259446191104,382.90210943138794,2924.147309399183,W001
2026-08-17,1670.0461693775555,436.429821368707,2927.06720810948,W001
2026-08-24,1687.6663941360007,377.75435063493427,2912.470579448931,W001
2026-08-31,1705.2866188944458,356.3195854119765,2935.4682227989856,W001
2026-09-07,1722.9068436528908,421.74853649760354,2950.6138820414694,W001
2026-09-14,1740.527068411336,399.23451258708997,3003.437489515066,W001
2026-09-21,1758.1472931697808,527.1898347146819,3062.5057967924,W001
2026-09-28,1775.767517928226,479.2731855739099,3058.944081260952,W001
2026-10-05,1793.3877426866713,494.89592533245764,3050.903825553544,W001
2026-10-11,616.3322837074755,-667.6298845500376,1829.6072773223066,W001
2026-10-18,633.952508467366,-738.1655250696278,1939.7484752325813,W001
2026-10-25,651.5727332227957,-660.2864175062875,1837.6512251239317,W001
2026-11-01,669.1929579826862,-752.4054898693661,1962.1034117652296,W001
2026-11-08,686.8131827404255,-629.7630612599719,1870.500531198361,W001
2026-11-15,704.4334075003158,-652.5686982752587,2028.5871553618756,W001
2026-11-22,722.0536322602061,-540.4409700852931,2055.113412895795,W001
2026-11-29,739.6738570179457,-562.275026288848,1995.9358546518133,W001
2026-12-06,757.294081777836,-386.1449385616364,2010.9382626339752,W001
2026-12-13,774.9143065321905,-456.4190425492113,1951.3977723523979,W001
2026-12-20,792.5345312920807,-559.4615848965234,2167.4923022736916,W001
2026-12-27,810.1547560508956,-415.55204128524616,2009.1666174537133,W001
2026-01-05,583.384844021172,219.2936675005943,933.4520904312826,W002
2026-01-12,577.8504907165566,224.15790683836414,908.4578314541476,W002
2026-01-19,572.3161373818225,233.5090786201125,930.6708162626205,W002
2026-01-26,566.7817839955555,231.61160483919258,923.160051738316,W002
2026-02-02,561.2474306092887,205.5149825542581,893.9366888108791,W002
2026-02-09,555.7130770707365,242.77092096004841,912.7192860791051,W002
2026-02-16,550.1787236910537,203.9249083136233,870.6406803079183,W002
2026-02-23,544.6443702006294,194.6295743361326,873.585971062663,W002
2026-03-02,539.1100165958047,173.92212573574247,893.1625749704792,W002
2026-03-09,533.5756629909799,164.61921410846082,881.4131701664439,W002
2026-03-16,528.0413093867062,212.02277479445198,879.8494640183786,W002
2026-03-23,522.5069557987268,169.03901628390625,888.0359614627607,W002
2026-03-30,516.9726020823927,169.36915712072954,864.6626333219391,W002
2026-04-06,511.43824843953695,131.28221442787785,860.4511943162711,W002
2026-04-13,505.90389479668124,152.08784648116512,855.9801203615101,W002
2026-04-20,500.3695413379014,127.72612943631425,849.5943953858904,W002
2026-04-27,494.8351878729777,122.11140918602982,828.7698309881449,W002
2026-05-04,489.3008344992164,121.44784663828581,835.9477673881561,W002
2026-05-11,483.7664812391811,118.20276122989989,797.4018392479047,W002
2026-05-18,478.23212797914584,139.84855815216432,809.6586781354612,W002
2026-05-25,472.6977746743162,121.05012146903174,812.3754502513053,W002
2026-06-01,467.16342130545195,107.05121280402993,820.0192253922484,W002
2026-06-08,461.6290680941277,129.81775368000126,798.7378229271133,W002
2026-06-15,456.0947149368689,103.1648773206352,821.3789820253265,W002
2026-06-22,450.56036177961016,111.08936532773393,798.3788993888915,W002
2026-06-29,445.0260087744064,109.35964032491763,790.7129412117114,W002
2026-07-06,439.49165563608676,95.69094881479214,808.5626175519419,W002
2026-07-13,433.9573023212066,95.44002274773536,802.2596430812771,W002
2026-07-20,428.4229491370172,76.21856296145963,757.1577401992041,W002
2026-07-27,422.8885959528278,89.12979704853011,762.0532729316283,W002
2026-08-03,417.3542427560278,67.99188040310023,767.8524990176547,W002
2026-08-10,411.8198896169125,64.24575748712523,748.6508103388845,W002
2026-08-17,406.28553630532286,56.71244896121765,773.5295201153966,W002
2026-08-24,400.7511829937332,41.906523648751346,768.6336675462447,W002
2026-08-31,395.2168296821435,72.09958780378702,760.6209135760535,W002
